x,y1,y2
1.0,0.8414709848078965,0.5403023058681398
1.5,0.9974949866040544,0.0707372016677029
2.0,0.9092974268256817,-0.4161468365471424
2.5,0.5984721441039564,-0.8011436155469337
3.0,0.1411200080598672,-0.9899924966004454
3.5,-0.35078322768961984,-0.9364566872907963
4.0,-0.7568024953079283,-0.6536436208636119
4.5,-0.977530117665097,-0.2107957994307797
5.0,-0.9589242746631385,0.28366218546322625
5.5,-0.7055403255703919,0.70866977429126
6.0,-0.27941549819892586,0.960170286650366
6.5,0.21511998808781552,0.9765876257280235
7.0,0.6569865987187891,0.7539022543433046
7.5,0.9379999767747389,0.3466353178350258
8.0,0.9893582466233818,-0.14550003380861354
8.5,0.7984871126234903,-0.6020119026848236
9.0,0.4121184852417566,-0.9111302618846769
9.5,-0.0751511204618093,-0.9971721561963784
10.0,-0.5440211108893698,-0.8390715290764524
10.5,-0.8796957599716702,-0.47553692799599256
11.0,-0.9999902065507035,0.004425697988050785
11.5,-0.8754521746884285,0.4833047587530059
12.0,-0.5365729180004349,0.8438539587324921
12.5,-0.06632189735120068,0.9977982791785807
13.0,0.4201670368266409,0.9074467814501962
13.5,0.8037844265516209,0.594920663309892
14.0,0.9906073556948704,0.1367372182078336
14.5,0.934895055524683,-0.354924266788705
15.0,0.6502878401571168,-0.7596879128588213
15.5,0.2064674819377966,-0.9784534628188842
16.0,-0.2879033166650653,-0.9576594803233847
16.5,-0.711785342369123,-0.7023970575027135
17.0,-0.9613974918795568,-0.27516333805159693
17.5,-0.9756260054681576,0.2194399632114593
18.0,-0.7509872467716762,0.6603167082440802
18.5,-0.34248061846961253,0.939524893748256
19.0,0.14987720966295234,0.9887046181866692
19.5,0.605539869719601,0.7958149698139441
20.0,0.9129452507276277,0.408082061813392
20.5,0.9968297942787993,-0.07956356727854007
21.0,0.836655638536056,-0.5477292602242684
21.5,0.47163900309419615,-0.8817917275413242
22.0,-0.008851309290403876,-0.9999608263946371
22.5,-0.4871745124605095,-0.8733046400935156
23.0,-0.8462204041751706,-0.5328330203333975
23.5,-0.9980820279793963,-0.061905293994420546
24.0,-0.9055783620066239,0.424179007336997
24.5,-0.5913575298651244,0.8064094939122546
25.0,-0.13235175009777303,0.9912028118634736
25.5,0.3590583540221683,0.933315112063922
26.0,0.7625584504796027,0.6469193223286404
26.5,0.979357643103917,0.20213512038718198
27.0,0.956375928404503,-0.2921388087338362
27.5,0.6992400316550977,-0.7148869687796651
28.0,0.27090578830786904,-0.9626058663135666
28.5,-0.22375564018679642,-0.9746452757206577
29.0,-0.6636338842129675,-0.7480575296890004
29.5,-0.9410314083429535,-0.3383192109710552
30.0,-0.9880316240928618,0.15425144988758405
30.5,-0.7931272394572851,0.6090559761063561
31.0,-0.404037645323065,0.9147423578045313
31.5,0.08397445569174683,0.9964679075571249
32.0,0.5514266812416906,0.8342233605065102
32.5,0.8838704235458307,0.4677318402470736
33.0,0.9999118601072672,-0.013276747223059479
33.5,0.8711400001691764,-0.4910347239302405
34.0,0.5290826861200238,-0.8485702747846052
34.5,0.057487478104924564,-0.9983462274487422
35.0,-0.428182669496151,-0.9036922050915067
35.5,-0.8090187662119065,-0.587782813560387
36.0,-0.9917788534431158,-0.12796368962740468
36.5,-0.9317168878547055,0.36318540841606234
37.0,-0.6435381333569995,0.7654140519453434
37.5,-0.19779879963646227,0.9802426408101081
38.0,0.2963685787093853,0.9550736440472949
38.5,0.7179745927716441,0.6960693098638897
39.0,0.9637953862840878,0.26664293235993725
39.5,0.9736454556949781,-0.22806693448309956
40.0,0.7451131604793488,-0.6669380616522619
40.5,0.33415117684842055,-0.9425194910508831
